key_0,label,Table name,ROW_ID,ITEMID,LABEL,ABBREVIATION,DBSOURCE,LINKSTO,CATEGORY,UNITNAME,PARAM_TYPE,CONCEPTID,FLUID,LOINC_CODE
potassium chloride,potassium chloride,inputevents,5215,30297,Potassium Chloride,,carevue,inputevents_cv,,,,,,
potassium chloride,potassium chloride,inputevents,13765,225166,Potassium Chloride,Potassium Chloride - KCL,metavision,inputevents_mv,Medications,mEq,Solution,,,
packed red blood cells,packed red blood cells,inputevents,13767,225168,Packed Red Blood Cells,PRBC's,metavision,inputevents_mv,Blood Products/Colloids,mL,Solution,,,
gastric meds,gastric meds,inputevents,5142,30144,Gastric Meds,,carevue,inputevents_cv,,,,,,
gastric meds,gastric meds,inputevents,13983,225799,Gastric Meds,Gastric Meds,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
d5 1/2ns,d5 1/2ns,inputevents,14002,225823,D5 1/2NS,D5 1/2NS,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
lr,lr,inputevents,8186,44367,LR,,carevue,inputevents_cv,Free Form Intake,,,,,
lr,lr,inputevents,14005,225828,LR,LR,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
solution,solution,inputevents,14375,225943,Solution,Solution,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
sterile water,sterile water,inputevents,5379,30065,Sterile Water,,carevue,inputevents_cv,,,,,,
sterile water,sterile water,inputevents,14376,225944,Sterile Water,Sterile Water,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
piggyback,piggyback,inputevents,14352,226089,Piggyback,Piggyback,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
or crystalloid intake,or crystalloid intake,inputevents,14450,226364,OR Crystalloid Intake,OR Crystalloid Intake,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
po intake,po intake,inputevents,5373,30056,Po Intake,,carevue,inputevents_cv,,,,,,
po intake,po intake,inputevents,14471,226452,PO Intake,PO Intake,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
gt flush,gt flush,inputevents,5112,30059,GT Flush,,carevue,inputevents_cv,,,,,,
gt flush,gt flush,inputevents,14472,226453,GT Flush,GT Flush,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,,
kcl (bolus),kcl (bolus),inputevents,14852,227522,KCL (Bolus),KCL (Bolus),metavision,inputevents_mv,Medications,mL,Solution,,,
magnesium sulfate (bolus),magnesium sulfate (bolus),inputevents,14853,227523,Magnesium Sulfate (Bolus),Magnesium Sulfate (Bolus),metavision,inputevents_mv,Medications,mL,Solution,,,
epinephrine,epinephrine,inputevents,5365,30044,Epinephrine,,carevue,inputevents_cv,,,,,,
epinephrine,epinephrine,inputevents,12960,221289,Epinephrine,Epinephrine,metavision,inputevents_mv,Medications,mg,Solution,,,
vasopressin,vasopressin,inputevents,5370,30051,Vasopressin,,carevue,inputevents_cv,,,,,,
vasopressin,vasopressin,inputevents,12997,222315,Vasopressin,Vasopressin,metavision,inputevents_mv,Medications,units,Solution,,,
dopamine,dopamine,inputevents,5106,30043,Dopamine,,carevue,inputevents_cv,,,,,,
dopamine,dopamine,inputevents,12972,221662,Dopamine,Dopamine,metavision,inputevents_mv,Medications,mg,Solution,,,
midazolam,midazolam,inputevents,5417,30124,Midazolam,,carevue,inputevents_cv,,,,,,
fentanyl,fentanyl,inputevents,5413,30118,Fentanyl,,carevue,inputevents_cv,,,,,,
fentanyl,fentanyl,inputevents,12977,221744,Fentanyl,Fentanyl,metavision,inputevents_mv,Medications,mg,Solution,,,
propofol,propofol,inputevents,5421,30131,Propofol,,carevue,inputevents_cv,,,,,,
propofol,propofol,inputevents,12995,222168,Propofol,Propofol,metavision,inputevents_mv,Medications,mg,Solution,,,
gastric tube,gastric tube,outputevents,14426,226573,Gastric Tube,Gastric Tube,metavision,outputevents,Output,mL,Numeric,,,
stool out stool,stool out stool,outputevents,5989,40054,Stool Out Stool,,carevue,outputevents,,,,,,
urine out incontinent,urine out incontinent,outputevents,6006,40085,Urine Out Incontinent,,carevue,outputevents,,,,,,
ultrafiltrate,ultrafiltrate,outputevents,8697,44890,ultrafiltrate,,carevue,outputevents,Free Form Intake,,,,,
ultrafiltrate,ultrafiltrate,outputevents,8804,43703,ULTRAFILTRATE,,carevue,outputevents,,,,,,
fecal bag,fecal bag,outputevents,14431,226580,Fecal Bag,Fecal Bag,metavision,outputevents,Output,mL,Numeric,,,
chest tube #1,chest tube #1,outputevents,14543,226588,Chest Tube #1,Chest Tube #1,metavision,outputevents,Output,mL,Numeric,,,
chest tube #2,chest tube #2,outputevents,14544,226589,Chest Tube #2,Chest Tube #2,metavision,outputevents,Output,mL,Numeric,,,
jackson pratt #1,jackson pratt #1,outputevents,14552,226599,Jackson Pratt #1,Jackson Pratt #1,metavision,outputevents,Drains,mL,Numeric,,,
or ebl,or ebl,outputevents,14484,226626,OR EBL,OR EBL,metavision,outputevents,Output,mL,Numeric,,,
pre-admission,pre-admission,outputevents,14491,226633,Pre-Admission,Pre-Admission,metavision,outputevents,Output,mL,Numeric,,,
tf residual,tf residual,outputevents,14844,227510,TF Residual,TF Residual,metavision,outputevents,Output,mL,Numeric,,,
urinary_output_sum,urinary_output_sum,outputevents,,,,,,,,,,,,
hematocrit,hematocrit,labevents,421,51221,Hematocrit,,,,Hematology,,,,Blood,4544-3
hematocrit,hematocrit,labevents,680,51480,Hematocrit,,,,Hematology,,,,Urine,17809-5
platelet count,platelet count,labevents,465,51265,Platelet Count,,,,Hematology,,,,Blood,777-3
hemoglobin,hemoglobin,labevents,12,50811,Hemoglobin,,,,Blood Gas,,,,Blood,718-7
hemoglobin,hemoglobin,labevents,422,51222,Hemoglobin,,,,Hematology,,,,Blood,718-7
mchc,mchc,labevents,449,51249,MCHC,,,,Hematology,,,,Blood,786-4
mch,mch,labevents,448,51248,MCH,,,,Hematology,,,,Blood,785-6
mcv,mcv,labevents,450,51250,MCV,,,,Hematology,,,,Blood,787-2
red blood cells,red blood cells,labevents,479,51279,Red Blood Cells,,,,Hematology,,,,Blood,789-8
rdw,rdw,labevents,477,51277,RDW,,,,Hematology,,,,Blood,788-0
chloride,chloride,labevents,103,50902,Chloride,,,,Chemistry,,,,Blood,2075-0
anion gap,anion gap,labevents,69,50868,Anion Gap,,,,Chemistry,,,,Blood,1863-0
creatinine,creatinine,labevents,113,50912,Creatinine,,,,Chemistry,,,,Blood,2160-0
glucose,glucose,labevents,10,50809,Glucose,,,,Blood Gas,,,,Blood,2339-0
glucose,glucose,labevents,132,50931,Glucose,,,,Chemistry,,,,Blood,2345-7
glucose,glucose,labevents,678,51478,Glucose,,,,Hematology,,,,Urine,5792-7
"magnesium, total","magnesium, total",labevents,161,50960,Magnesium,,,,,,,,,
calcium,calcium,labevents,94,50893,"Calcium, Total",,,,,,,,,
phosphate,phosphate,labevents,171,50970,Phosphate,,,,Chemistry,,,,Blood,2777-1
inr(pt),inr(pt),labevents,437,51237,INR(PT),,,,Hematology,,,,Blood,5895-7
pt,pt,labevents,474,51274,PT,,,,Hematology,,,,Blood,5902-2
ptt,ptt,labevents,475,51275,PTT,,,,Hematology,,,,Blood,3173-2
lymphocytes,lymphocytes,labevents,575,51375,Lymphocytes,,,,Hematology,,,,Joint Fluid,26483-8
lymphocytes,lymphocytes,labevents,627,51427,Lymphocytes,,,,Hematology,,,,Other Body Fluid,11031-2
lymphocytes,lymphocytes,labevents,646,51446,Lymphocytes,,,,Hematology,,,,Pleural,26481-2
lymphocytes,lymphocytes,labevents,316,51116,Lymphocytes,,,,Hematology,,,,Ascites,26482-0
lymphocytes,lymphocytes,labevents,444,51244,Lymphocytes,,,,Hematology,,,,Blood,731-0
monocytes,monocytes,labevents,555,51355,Monocytes,,,,Hematology,,,,Cerebrospinal Fluid (CSF),26486-1
monocytes,monocytes,labevents,579,51379,Monocytes,,,,Hematology,,,,Joint Fluid,17835-0
monocytes,monocytes,labevents,320,51120,Monocytes,,,,Hematology,,,,Ascites,26488-7
monocytes,monocytes,labevents,454,51254,Monocytes,,,,Hematology,,,,Blood,742-7
neutrophils,neutrophils,labevents,456,51256,Neutrophils,,,,Hematology,,,,Blood,761-7
basophils,basophils,labevents,567,51367,Basophils,,,,Hematology,,,,Joint Fluid,17833-5
basophils,basophils,labevents,587,51387,Basophils,,,,Hematology,,,,Other Body Fluid,28543-7
basophils,basophils,labevents,642,51442,Basophils,,,,Hematology,,,,Pleural,35070-2
basophils,basophils,labevents,312,51112,Basophils,,,,Hematology,,,,Ascites,35069-4
basophils,basophils,labevents,346,51146,Basophils,,,,Hematology,,,,Blood,704-7
basophils,basophils,labevents,545,51345,Basophils,,,,Hematology,,,,Cerebrospinal Fluid (CSF),30374-3
eosinophils,eosinophils,labevents,547,51347,Eosinophils,,,,Hematology,,,,Cerebrospinal Fluid (CSF),26451-5
eosinophils,eosinophils,labevents,568,51368,Eosinophils,,,,Hematology,,,,Joint Fluid,17834-3
eosinophils,eosinophils,labevents,619,51419,Eosinophils,,,,Hematology,,,,Other Body Fluid,26452-3
eosinophils,eosinophils,labevents,644,51444,Eosinophils,,,,Hematology,,,,Pleural,30379-2
eosinophils,eosinophils,labevents,314,51114,Eosinophils,,,,Hematology,,,,Ascites,30380-0
eosinophils,eosinophils,labevents,400,51200,Eosinophils,,,,Hematology,,,,Blood,711-2
eosinophils,eosinophils,labevents,674,51474,Eosinophils,,,,Hematology,,,,Urine,25156-1
ph,ph,labevents,21,50820,pH,,,,Blood Gas,,,,Blood,11558-4
ph,ph,labevents,32,50831,pH,,,,Blood Gas,,,,Other Body Fluid,2748-2
ph,ph,labevents,294,51094,pH,,,,Chemistry,,,,Urine,2756-5
ph,ph,labevents,691,51491,pH,,,,Hematology,,,,Urine,5803-2
base excess,base excess,labevents,3,50802,Base Excess,,,,Blood Gas,,,,Blood,11555-0
calculated total co2,calculated total co2,labevents,5,50804,Calculated Total CO2,,,,Blood Gas,,,,Blood,34728-6
pco2,pco2,labevents,19,50818,pCO2,,,,Blood Gas,,,,Blood,11557-6
specific gravity,specific gravity,labevents,698,51498,Specific Gravity,,,,Hematology,,,,Urine,5811-5
lactate,lactate,labevents,14,50813,Lactate,,,,Blood Gas,,,,Blood,32693-4
alanine aminotransferase (alt),alanine aminotransferase (alt),labevents,62,50861,Alanine Aminotransferase (ALT),,,,Chemistry,,,,Blood,1742-6
asparate aminotransferase (ast),asparate aminotransferase (ast),labevents,79,50878,Asparate Aminotransferase (AST),,,,Chemistry,,,,Blood,1920-8
alkaline phosphatase,alkaline phosphatase,labevents,64,50863,Alkaline Phosphatase,,,,Chemistry,,,,Blood,6768-6
albumin,albumin,labevents,63,50862,Albumin,,,,Chemistry,,,,Blood,1751-7
pao2,pao2,labevents,450,490,PAO2,,carevue,chartevents,,,,,,
serum_urea_nitrogen_level,serum_urea_nitrogen_level,labevents,,,,,,,,,,,,
white_blood_cells_count_mean,white_blood_cells_count_mean,labevents,,,,,,,,,,,,
serum_bicarbonate_level_mean,serum_bicarbonate_level_mean,labevents,,,,,,,,,,,,
sodium_level_mean,sodium_level_mean,labevents,,,,,,,,,,,,
potassium_level_mean,potassium_level_mean,labevents,,,,,,,,,,,,
bilirubin_level,bilirubin_level,labevents,,,,,,,,,,,,
hgb,hgb,labevents,1278,1165,Hgb,,carevue,chartevents,,,,,,
chloride,chloride,labevents,103,50902,Chloride,,,,Chemistry,,,,Blood,2075-0
peep,peep,labevents,20,50819,PEEP,,,,Blood Gas,,,,Blood,20077-4
aspirin,aspirin,prescriptions,,,,,,,,,,,,
bisacodyl,bisacodyl,prescriptions,,,,,,,,,,,,
docusate sodium,docusate sodium,prescriptions,,,,,,,,,,,,
humulin-r insulin,humulin-r insulin,prescriptions,,,,,,,,,,,,
metoprolol tartrate,metoprolol tartrate,prescriptions,,,,,,,,,,,,
pantoprazole,pantoprazole,prescriptions,3261,1898,pantoprazole,,carevue,chartevents,,,,,,
pantoprazole,pantoprazole,prescriptions,3783,2778,Pantoprazole,,carevue,chartevents,,,,,,
pantoprazole,pantoprazole,prescriptions,4628,7372,PANTOPRAZOLE,,carevue,chartevents,,,,,,
pantoprazole,pantoprazole,prescriptions,5722,40550,PANTOPRAZOLE,,carevue,inputevents_cv,Free Form Intake,,,,,
pantoprazole,pantoprazole,prescriptions,5839,40700,Pantoprazole,,carevue,inputevents_cv,Free Form Intake,,,,,
pantoprazole,pantoprazole,prescriptions,10648,41583,pantoprazole,,carevue,inputevents_cv,Free Form Intake,,,,,
arterial blood pressure diastolic,arterial blood pressure diastolic,chartevents,12717,220051,Arterial Blood Pressure diastolic,ABPd,metavision,chartevents,Routine Vital Signs,mmHg,Numeric,,,
arterial blood pressure mean,arterial blood pressure mean,chartevents,12718,220052,Arterial Blood Pressure mean,ABPm,metavision,chartevents,Routine Vital Signs,mmHg,Numeric,,,
respiratory rate,respiratory rate,chartevents,575,618,Respiratory Rate,,carevue,chartevents,,,,,,
respiratory rate,respiratory rate,chartevents,12738,220210,Respiratory Rate,RR,metavision,chartevents,Respiratory,insp/min,Numeric,,,
alarms on,Alarms On,chartevents,13422,224641,Alarms On,Alarms On,metavision,chartevents,Alarms,,Checkbox,,,
minute volume alarm - low,Minute Volume Alarm - Low,chartevents,12748,220292,Minute Volume Alarm - Low,MV Alarm - Low,metavision,chartevents,Alarms,L/min,Numeric,,,
peak insp. pressure,Peak Insp. Pressure,chartevents,493,535,Peak Insp. Pressure,,carevue,chartevents,,,,,,
peak insp. pressure,Peak Insp. Pressure,chartevents,13249,224695,Peak Insp. Pressure,Peak Insp. Pressure,metavision,chartevents,Respiratory,cmH2O,Numeric,,,
peep set,PEEP set,chartevents,466,506,PEEP Set,,carevue,chartevents,,,,,,
peep set,PEEP set,chartevents,12750,220339,PEEP set,PEEP set,metavision,chartevents,Respiratory,cmH2O,Numeric,,,
minute volume,minute volume,chartevents,414,448,Minute Volume,,carevue,chartevents,,,,,,
minute volume,minute volume,chartevents,13243,224687,Minute Volume,Minute Volume,metavision,chartevents,Respiratory,L/min,Numeric,,,
tidal volume (observed),Tidal Volume (observed),chartevents,13241,224685,Tidal Volume (observed),Tidal Volume (observed),metavision,chartevents,Respiratory,mL,Numeric,,,
minute volume alarm - high,Minute Volume Alarm - High,chartevents,12749,220293,Minute Volume Alarm - High,MV Alarm - High,metavision,chartevents,Alarms,L/min,Numeric,,,
mean airway pressure,mean airway pressure,chartevents,410,444,Mean Airway Pressure,,carevue,chartevents,,,,,,
mean airway pressure,mean airway pressure,chartevents,13251,224697,Mean Airway Pressure,Mean Airway Pressure,metavision,chartevents,Respiratory,cmH2O,Numeric,,,
central venous pressure,central venous pressure,chartevents,12729,220074,Central Venous Pressure,CVP,metavision,chartevents,Hemodynamics,mmHg,Numeric,,,
respiratory rate (set),respiratory rate (set),chartevents,13244,224688,Respiratory Rate (Set),Respiratory Rate (Set),metavision,chartevents,Respiratory,insp/min,Numeric,,,
pulmonary artery pressure,pulmonary artery pressure,chartevents,,,,,,,,,,,,
o2 flow,o2 flow,chartevents,12803,223834,O2 Flow,O2 Flow,metavision,chartevents,Respiratory,L/min,Numeric,,,
o2 flow,o2 flow,chartevents,16,50815,O2 Flow,,,,Blood Gas,,,,Blood,3151-8
glucose finger stick,glucose finger stick,chartevents,14111,225664,Glucose finger stick,Glucose finger stick,metavision,chartevents,Labs,None,Numeric,,,
hear trate alarm-low,hear trate alarm-low,chartevents,,,,,,,,,,,,
pulmonary artery pressure systolic,pulmonary artery pressure systolic,chartevents,12721,220059,Pulmonary Artery Pressure systolic,PAPs,metavision,chartevents,Hemodynamics,mmHg,Numeric,,,
tidal volume (set),Tidal Volume (set),chartevents,634,683,Tidal Volume (Set),,carevue,chartevents,,,,,,
tidal volume (set),Tidal Volume (set),chartevents,13240,224684,Tidal Volume (set),Tidal Volume (set),metavision,chartevents,Respiratory,mL,Numeric,,,
pulmonary artery pressure diastolic,pulmonary artery pressure diastolic,chartevents,12722,220060,Pulmonary Artery Pressure diastolic,PAPd,metavision,chartevents,Hemodynamics,mmHg,Numeric,,,
spo2 desat limit,spo2 desat limit,chartevents,14442,226253,SpO2 Desat Limit,SpO2 Desat Limit,metavision,chartevents,Alarms,%,Numeric,,,
resp alarm - high,Resp Alarm - High,chartevents,13047,224161,Resp Alarm - High,Resp Alarm - High,metavision,chartevents,Alarms,insp/min,Numeric,,,
skin care,Skin Care,chartevents,595,642,Skin Care,,carevue,chartevents,,,,,,
skin care,Skin Care,chartevents,13778,225185,Skin Care,Skin Care,metavision,chartevents,Treatments,,Checkbox,,,
gcsverbalapacheiivalue,GCSVerbalApacheIIValue,chartevents,14519,226758,GCSVerbalApacheIIValue,GCSVerbalApacheIIValue,metavision,chartevents,Scores - APACHE II,,Text,,,
gcsmotorapacheiivalue,GCSMotorApacheIIValue,chartevents,14518,226757,GCSMotorApacheIIValue,GCSMotorApacheIIValue,metavision,chartevents,Scores - APACHE II,,Text,,,
gcseyeapacheiivalue,GCSEyeApacheIIValue,chartevents,14517,226756,GCSEyeApacheIIValue,GCSEyeApacheIIValue,metavision,chartevents,Scores - APACHE II,,Text,,,
arterial blood pressure systolic,Arterial Blood Pressure systolic,chartevents,12716,220050,Arterial Blood Pressure systolic,ABPs,metavision,chartevents,Routine Vital Signs,mmHg,Numeric,,,
heart rate,heart rate,chartevents,212,211,Heart Rate,,carevue,chartevents,,,,,,
heart rate,heart rate,chartevents,12712,220045,Heart Rate,HR,metavision,chartevents,Routine Vital Signs,bpm,Numeric,,,
temperature fahrenheit,Temperature Fahrenheit,chartevents,12757,223761,Temperature Fahrenheit,Temperature F,metavision,chartevents,Routine Vital Signs,?F,Numeric,,,
inspired o2 fraction,Inspired O2 Fraction,chartevents,12804,223835,Inspired O2 Fraction,FiO2,metavision,chartevents,Respiratory,None,Numeric,,,
inspiratory ratio,Inspiratory Ratio,,14644,226873,Inspiratory Ratio,Inspiratory Ratio,metavision,chartevents,Respiratory,None,Numeric,,,
expiratory ratio,Expiratory Ratio,chartevents,14643,226871,Expiratory Ratio,Expiratory Ratio,metavision,chartevents,Respiratory,None,Numeric,,,
diastolic blood pressure,diastolic blood pressure,chartevents,4827,8364,ABP [Diastolic],NaN,carevue,chartevents,,,,,,
diastolic blood pressure,diastolic blood pressure,chartevents,5017,8555,Arterial BP #2 [Diastolic],NaN,carevue,chartevents,,,,,,
diastolic blood pressure,diastolic blood pressure,chartevents,4831,8368,Arterial BP [Diastolic],NaN,carevue,chartevents,,,,,,
arterial pressure,arterial pressure,chartevents,59,53,Arterial Pressure,,carevue,chartevents,,,,,,
spo2 peripheral,spo2 peripheral,chartevents,599,646,SpO2,NaN,carevue,chartevents,,,,,,
glucose,glucose,chartevents,2981,1529,Glucose,,carevue,chartevents,Chemistry,,,,,
glucose,glucose,chartevents,10,50809,Glucose,,,,Blood Gas,,,,Blood,2339-0
glucose,glucose,chartevents,132,50931,Glucose,,,,Chemistry,,,,Blood,2345-7
glucose,glucose,chartevents,678,51478,Glucose,,,,Hematology,,,,Urine,5792-7
weight,weight,chartevents,13420,224639,Daily Weight,Daily Weight,metavision,chartevents,General,kg,Numeric,,,
weight,weight,chartevents,688,763,Daily Weight,NaN,carevue,chartevents,General,kg,Numeric,,,
weight,weight,chartevents,13420,224639,Daily Weight,Daily Weight,metavision,chartevents,General,kg,Numeric,,,
height,height,chartevents,14492,226707,Height,Height,metavision,chartevents,General,Inch,Numeric,,,
